gvkey,cnms,ctype,salecs,srcdate,conm,tic,cusip,CIK,sic,Symbol,GICS Sector,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1209,Sale of equipment,MARKET,261.0,2019-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2019,528.2,18942.8,1989.7,4892.7,7.94,4026.2,388.3,1760.0,1415.4,8918.9,,,,,,,,,,
1209,On-site,MARKET,77.9,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,On-site,MARKET,1833.9,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,1787.9,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,1945.8,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,On-site,MARKET,1298.2,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,On-site,MARKET,3423.1,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,51.6,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Sale of equipment,MARKET,970.8,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1209,Merchant,MARKET,1309.4,2022-09-30,AIR PRODUCTS & CHEMICALS INC,APD,009158106,2969.0,2810,APD,Materials,2022,1120.7,27192.6,2926.5,8000.3,10.08,4698.3,514.2,2256.1,1941.2,12698.6,112.1734191594093,43.55111176805963,47.08247474493642,63.51503259958715,26.952141057934504,16.69315980328847,32.42338398145764,28.187499999999993,37.148509255334176,42.3785444393367
1230,Online Travel Agencies,MARKET,965.91,2019-12-31,ALASKA AIR GROUP INC,ALK,011659109,766421.0,4512,ALK,Industrials,2019,146.0,12993.0,696.0,6379.0,6.19,2402.0,72.0,769.0,323.0,8781.0,,,,,,,,,,
1230,Traditional Agencies,MARKET,1756.2,2019-12-31,ALASKA AIR GROUP INC,ALK,011659109,766421.0,4512,ALK,Industrials,2019,146.0,12993.0,696.0,6379.0,6.19,2402.0,72.0,769.0,323.0,8781.0,,,,,,,,,,
1230,Reservation Call Centers,MARKET,351.24,2019-12-31,ALASKA AIR GROUP INC,ALK,011659109,766421.0,4512,ALK,Industrials,2019,146.0,12993.0,696.0,6379.0,6.19,2402.0,72.0,769.0,323.0,8781.0,,,,,,,,,,
1230,Direct to customer,MARKET,5707.65,2019-12-31,ALASKA AIR GROUP INC,ALK,011659109,766421.0,4512,ALK,Industrials,2019,146.0,12993.0,696.0,6379.0,6.19,2402.0,72.0,769.0,323.0,8781.0,,,,,,,,,,
1300,International,GEOREG,3658.88,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,International,GEOREG,2670.26,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,International,GEOREG,2502.64,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,Buildings,MARKET,5717.0,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,U.S. Department of Defense,GOVDOM,3491.0,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,U.S. Government,GOVDOM,566.0,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,International,GEOREG,6067.04,2019-12-31,HONEYWELL INTERNATIONAL INC,HON,438516106,773840.0,9997,HON,Industrials,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1327,Apple Inc,COMPANY,1722.168,2019-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Information Technology,2019,190.5,4839.6,398.4,1353.0,4.89,2023.8,609.7,853.6,465.3,3376.8,,,,,,,,,,
1327,Distributors,MARKET,4488.1,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Information Technology,2022,274.2,8873.8,489.4,2290.0,7.81,3195.5,1212.1,1275.2,1094.0,5485.5,43.93700787401574,83.35812877097278,22.841365461847392,69.25351071692535,59.71370143149285,57.89603715782192,98.80268984746594,49.39081537019682,135.11712873415001,62.446695095948826
1327,Direct customers,MARKET,997.4,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Information Technology,2022,274.2,8873.8,489.4,2290.0,7.81,3195.5,1212.1,1275.2,1094.0,5485.5,43.93700787401574,83.35812877097278,22.841365461847392,69.25351071692535,59.71370143149285,57.89603715782192,98.80268984746594,49.39081537019682,135.11712873415001,62.446695095948826
1327,Apple Inc,COMPANY,3181.59,2022-09-30,SKYWORKS SOLUTIONS INC,SWKS,83088M102,4127.0,3674,SWKS,Information Technology,2022,274.2,8873.8,489.4,2290.0,7.81,3195.5,1212.1,1275.2,1094.0,5485.5,43.93700787401574,83.35812877097278,22.841365461847392,69.25351071692535,59.71370143149285,57.89603715782192,98.80268984746594,49.39081537019682,135.11712873415001,62.446695095948826
1440,Renewable Generation-Nonaffiliated,MARKET,77.7,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Industrial,MARKET,426.5,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Wholesale-Transmission,MARKET,200.7,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,"Retail, Trading and Marketing",MARKET,1379.8,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
