gvkey,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1414,2019,368.677,13688.531,25.437,1528.282,8.62,524.222,43.233,366.391,4499.932,2052.504,,,,,,,,,,
1414,2022,639.188,15348.877,25.805,2106.739,9.74,613.394,3.698,373.012,4539.826,2720.133,73.37344070826222,12.12946809266823,1.4467114832723929,37.85014807476632,12.993039443155466,17.01035057666409,-91.44634885388476,1.807085872742502,0.8865467300394814,32.52753709615182
1417,2019,,,,,,,,,,,,,,,,,,,,
1417,2022,,,,,,,,,,,,,,,,,,,,
1440,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,2022,2613.0,93469.4,6772.4,12744.0,4.49,6895.5,1302.1,2307.2,2570.3,19639.5,25.275673602454685,23.160584143582405,10.23324706610023,21.898494442637688,15.72164948453609,35.02584788908905,11.36674649332876,20.097860600697512,50.74189197114541,26.206510982302365
1447,2019,85206.0,198321.0,1688.0,36250.0,7.99,10770.0,0.0,6759.0,146418.0,47020.0,,,,,,,,,,
1447,2022,121267.0,228354.0,1856.0,43212.0,9.85,12413.0,0.0,7514.0,170036.0,55625.0,42.322136938713236,15.143630780401471,9.95260663507109,19.20551724137931,23.279098873591984,15.255338904363974,,11.170291463234207,16.13053039926785,18.30072309655466
1449,2019,6535.0,152768.0,0.0,17594.0,4.43,4775.0,0.0,3304.0,12389.0,22369.0,,,,,,,,,,
1449,2022,6370.0,131017.0,0.0,14632.0,6.59,3446.0,0.0,4201.0,15948.0,18078.0,-2.5248661055853097,-14.237929409300376,,-16.835284756166875,48.75846501128669,-27.832460732984295,,27.148910411622275,28.72709661796755,-19.182797621708612
1487,2019,,525064.0,0.0,37687.0,3.69,11623.0,0.0,3348.0,97569.0,49310.0,,,,,,,,,,
1487,2022,,526634.0,0.0,34996.0,13.01,21336.0,0.0,10276.0,136817.0,56332.0,,0.2990111681623574,,-7.140393239047947,252.57452574525746,83.56706530155725,,206.92951015531662,40.22589142043067,14.240519164469681
1545,2019,24.768,830.641,37.152,32.663,-1.0,41.262,0.0,-15.958,242.196,73.925,,,,,,,,,,
1545,2022,53.1,1197.479,18.686,27.092,23.11,42.214,0.0,373.349,247.793,69.306,114.38953488372093,44.16324260420568,-49.703919035314385,-17.05599608119278,-2411.0,2.307207600213267,,-2439.572628148891,2.310938248360835,-6.24822455191072
1559,2019,0.557,53.783,0.99,6.344,0.11,14.261,0.0,0.659,7.063,20.605,,,,,,,,,,
1559,2022,0.727,43.956,0.388,6.638,0.21,13.108,0.0,1.328,4.128,19.746,30.520646319569106,-18.271572801814695,-60.80808080808081,4.6343001261033985,90.9090909090909,-8.084987027557666,,101.51745068285281,-41.55458020671103,-4.168891045862663
1585,2019,64.881,670.098,12.985,272.189,0.46,195.997,163.313,13.601,155.848,468.186,,,,,,,,,,
1585,2022,69.0,726.313,13.261,346.125,0.92,263.49,184.19,27.404,168.199,609.615,6.348545799232442,8.389071449250713,2.1255294570658436,27.163478318374356,100.0,34.43573115915039,12.783428141054301,101.48518491287403,7.925029515938606,30.20786610449694
1598,2019,377.219,9844.559,102.346,3136.855,3.75,2021.702,624.567,861.297,817.799,5158.557,,,,,,,,,,
1598,2022,497.134,12431.12,139.005,3685.834,5.01,2464.696,1044.284,1159.542,1039.076,6150.53,31.789225887349264,26.274015931033595,35.818693451624874,17.500936447492784,33.599999999999994,21.911933608415083,67.20127704473661,34.6274281693771,27.057626629526332,19.22966054266726
1602,2019,1371.0,59707.0,618.0,2321.0,12.88,21041.0,3584.0,7842.0,4652.0,23362.0,,,,,,,,,,
1602,2022,1572.0,65121.0,936.0,3145.0,12.11,23178.0,4930.0,6552.0,6392.0,26323.0,14.660831509846828,9.067613512653457,51.45631067961165,35.50193881947437,-5.9782608695652275,10.156361389667792,37.55580357142857,-16.449885233358838,37.40326741186586,12.6744285591987
1613,2019,33.271,506.56,10.964,326.157,-0.95,71.747,82.289,-20.986,97.783,397.904,,,,,,,,,,
1613,2022,43.621,502.774,16.688,328.407,0.18,61.782,121.739,3.416,93.492,390.189,31.108172282167658,-0.7473941882501581,52.20722364100692,0.6898518198291007,-118.94736842105263,-13.889082470347198,47.94079403079391,-116.2775183455637,-4.388288352781155,-1.9389098878121296
1632,2019,225.27,21392.641,275.372,1595.105,3.65,4395.96,609.886,1363.011,635.136,5991.065,,,,,,,,,,
1632,2022,582.16,50302.35,699.308,2925.156,5.25,9088.797,1399.914,2748.561,1800.462,12013.953,158.42766458028143,135.13856938000316,153.9502926949726,83.38328824748214,43.83561643835617,106.7534053995032,129.5369954384918,101.65361834937502,183.47660973397825,100.53117434045534
1659,2019,873.081,3900.741,270.477,7506.133,0.55,664.058,1170.536,18.307,536.367,8170.191,,,,,,,,,,
1659,2022,1423.633,4607.996,108.284,16490.485,3.46,834.899,1731.725,131.08,1248.878,17325.384,63.05852492494969,18.131298643001422,-59.96554235665139,119.69348264945481,529.0909090909091,25.72681904291493,47.94290820615512,616.0102692958978,132.84020083263886,112.05604618056053
1661,2019,295.159,6760.658,427.741,1929.331,-2.11,1114.052,176.341,-702.885,453.042,3043.383,,,,,,,,,,
1661,2022,314.041,4729.854,373.445,1666.004,-40.52,987.762,127.947,-350.261,327.397,2653.766,6.397229967576799,-30.038555418718115,-12.693662753862734,-13.648617059488496,1820.3791469194314,-11.336095622107404,-27.443419284227723,-50.1680929312761,-27.73363176041073,-12.802102134368226
1678,2019,695.0,18107.0,2961.0,4760.0,-9.43,1520.0,502.0,-3553.0,1062.0,6280.0,,,,,,,,,,
1678,2022,771.0,13147.0,2398.0,3855.0,11.02,7106.0,427.0,3674.0,1466.0,10961.0,10.93525179856115,-27.392721047108854,-19.013846673421142,-19.012605042016805,-216.86108165429482,367.5,-14.940239043824702,-203.40557275541795,38.04143126177024,74.53821656050955
1690,2019,46236.0,338516.0,10495.0,150482.0,11.89,109692.0,4106.0,55256.0,45804.0,260174.0,,,,,,,,,,
1690,2022,64115.0,352755.0,10708.0,214846.0,6.11,179482.0,4946.0,99803.0,60932.0,394328.0,38.66900250886755,4.2063004407472615,2.0295378751786566,42.771892983878466,-48.61227922624054,63.62360062721073,20.45786653677545,80.61929926161865,33.027683171775394,51.563184637973045
1704,2019,958.0,19024.0,441.0,7859.0,2.86,6749.0,3474.0,2706.0,2641.0,14608.0,,,,,,,,,,
1704,2022,1755.0,26726.0,787.0,13361.0,7.44,12424.0,5932.0,6525.0,6241.0,25785.0,83.19415448851774,40.48570227081581,78.45804988662131,70.00890698562158,160.13986013986013,84.086531337976,70.75417386298216,141.13082039911308,136.31200302915562,76.51286966046003
1706,2019,76.914,1124.274,14.923,348.994,0.13,305.764,77.187,-249.145,129.63,654.758,,,,,,,,,,
1706,2022,72.524,757.312,8.417,293.541,0.33,277.682,83.672,15.686,109.144,571.223,-5.707673505473646,-32.63990806511579,-43.59713194397909,-15.88938491779229,153.84615384615387,-9.184207427950966,8.401673856996645,-106.29593208774007,-15.80344056159839,-12.758148812232928
1722,2019,9052.0,43997.0,828.0,59517.0,2.44,5139.0,9170.0,1379.0,4665.0,64656.0,,,,,,,,,,
1722,2022,17882.0,59774.0,1319.0,92961.0,7.71,8595.0,14771.0,4340.0,7501.0,101556.0,97.54750331418471,35.85926313157715,59.29951690821256,56.19234840465749,215.98360655737702,67.25043782837128,61.079607415485285,214.72081218274113,60.79314040728831,57.071269487750556
1743,2019,134.374,1651.207,102.431,2791.452,1.51,196.858,0.0,39.985,301.353,2988.31,,,,,,,,,,
1743,2022,317.541,2494.286,165.505,4777.234,11.69,546.818,0.0,298.209,592.382,5324.052,136.31133999136736,51.058347015243996,61.577061631732576,71.13795974281484,674.1721854304635,177.7728108585884,,645.802175815931,96.57411739720526,78.16264042217841
1773,2019,7046.221,16400.796,143.191,25594.266,-2.44,3322.581,3477.12,-204.087,8482.687,28916.847,,,,,,,,,,
1773,2022,10460.419,21763.182,78.836,32287.797,21.8,4836.625,5319.369,1426.884,12322.717,37124.422,48.454313312057636,32.69588866296491,-44.94346711734676,26.15246321187722,-993.4426229508198,45.56830969658828,52.98203685808945,-799.1547722294905,45.26902855191994,28.383367661073134
1783,2019,1.206,19.347,0.447,17.957,-0.33,4.932,9.505,-1.42,1.828,22.889,,,,,,,,,,
1783,2022,2.631,23.948,1.747,20.286,0.02,8.114,11.062,0.098,2.722,28.4,118.15920398009949,23.781464826588095,290.82774049217,12.969872473130259,-106.06060606060606,64.51743714517437,16.38085218306153,-106.90140845070424,48.90590809628008,24.077067587050546
1794,2019,313.0,7251.0,154.0,1513.0,0.39,980.0,597.0,505.0,481.0,2493.0,,,,,,,,,,
1794,2022,265.0,6213.0,113.0,1414.0,3.2,977.0,629.0,927.0,402.0,2391.0,-15.335463258785943,-14.315266859743483,-26.623376623376622,-6.5432914738929275,720.5128205128206,-0.30612244897959184,5.360134003350084,83.56435643564356,-16.424116424116423,-4.0914560770156445
1820,2019,4.409,116.664,2.906,78.404,0.24,55.042,33.925,1.759,19.784,133.446,,,,,,,,,,
1820,2022,8.618,139.207,0.229,90.455,0.36,52.072,51.324,2.661,21.598,142.527,95.46382399637108,19.32301309744222,-92.11975223675155,15.370389265853786,50.0,-5.395879510192215,51.286661753868835,51.279135872654926,9.16902547513142,6.804999775189955
1823,2019,35.842,782.716,12.083,569.863,1.6,202.839,145.787,52.017,147.998,772.702,,,,,,,,,,
1823,2022,64.193,615.031,7.675,442.516,-1.11,92.378,187.983,-35.747,147.79,534.894,79.09993861949668,-21.42347926962015,-36.48100637258959,-22.34695005641707,-169.375,-54.45747612638595,28.943595793863647,-168.72176403867968,-0.14054243976269842,-30.776159502628435
1864,2019,18.9,500.502,3.776,382.542,1.18,35.492,35.634,7.427,18.998,418.034,,,,,,,,,,
1864,2022,34.091,579.579,15.578,782.293,1.57,72.707,48.744,27.697,28.124,855.0,80.3756613756614,15.799537264586345,312.55296610169495,104.49859100438645,33.05084745762713,104.85461512453512,36.790705505977435,272.92311835195903,48.036635435308966,104.52881823009612
1878,2019,83.7,6179.3,53.2,238.6,0.96,3035.7,0.0,214.5,652.3,3274.3,,,,,,,,,,
1878,2022,102.0,9438.0,40.0,372.0,3.78,4633.0,0.0,823.0,961.0,5005.0,21.863799283154115,52.7357467674332,-24.812030075187973,55.909471919530596,293.75,52.617188786770775,,283.68298368298366,47.324850528897755,52.85709922731575
1891,2019,125.5,41887.7,162.0,7677.6,5.24,6497.6,0.0,2292.8,2439.3,14175.2,,,,,,,,,,
1891,2022,110.2,63068.2,174.4,8946.8,7.0,7551.5,0.0,2948.9,3170.6,16498.3,-12.191235059760954,50.56496298436058,7.654320987654324,16.53120766906323,33.58778625954198,16.219835016005906,,28.615666434054425,29.979912269913488,16.388481291269247
1913,2019,1066.1,5488.8,219.4,4991.4,3.57,2078.7,663.0,303.6,1212.2,7070.1,,,,,,,,,,
1913,2022,1339.3,7950.5,278.1,6346.4,9.21,2692.9,1009.9,757.1,1374.4,9039.3,25.626113872995038,44.84951173298353,26.754785779398365,27.146692310774533,157.98319327731093,29.547313224611553,52.322775263951726,149.37417654808957,13.380630259033166,27.85250562226841
1919,2019,1864.342,8564.556,122.69,16851.648,1.63,2666.944,3008.424,176.337,3168.369,19518.592,,,,,,,,,,
1919,2022,3431.683,10388.532,48.9,21242.991,6.94,3067.717,4244.148,692.379,4301.002,24310.708,84.06939284744965,21.29679577084905,-60.1434509739995,26.058834127083596,325.76687116564426,15.027424647836629,41.07546010801669,292.6453325167152,35.74814044702496,24.55154552131628
1932,2019,12882.439,186747.022,879.403,19375.972,3.3,14895.527,8070.894,7554.378,,34271.499,,,,,,,,,,
1932,2022,12590.0,185007.575,630.163,18666.312,3.52,14655.198,6832.988,8031.863,,33321.51,-2.2700592643986153,-0.9314456430796447,-28.34195471245834,-3.6625775470773796,6.666666666666673,-1.6134306627754742,-15.33790432633609,6.320639502021221,,-2.771950535341338
1949,2019,17.939,390.61,0.0,18.248,0.05,10.619,0.0,0.856,4.15,28.867,,,,,,,,,,
1949,2022,20.159,732.118,0.0,55.37,2.66,81.583,0.0,49.955,0.0,136.953,12.375271754278382,87.42940528916311,,203.43051293292413,5220.0,668.2738487616537,,5735.8644859813085,-100.0,374.4275470260158
1968,2019,27.023,421.893,7.496,239.228,1.61,185.397,81.948,47.177,61.365,424.625,,,,,,,,,,
1968,2022,62.14,603.047,5.891,322.108,2.26,243.46,119.856,66.496,76.651,565.568,129.9522628871702,42.9383753700583,-21.41141942369264,34.64477402310766,40.37267080745339,31.318198244847554,46.258603016547085,40.950039214023775,24.909964963741537,33.192346187812774
1979,2019,37.267,1155.682,28.315,409.902,2.45,233.803,83.893,79.671,93.444,643.705,,,,,,,,,,
1979,2022,57.322,1624.512,50.29,632.822,3.25,309.536,119.668,105.367,131.578,942.358,53.8143665977943,40.567387914668565,77.60904114426981,54.383730745397685,32.65306122448979,32.39179993413258,42.64360554515872,32.25263897779618,40.80946877274089,46.39594224062263
1988,2019,3136.0,17360.0,598.0,9203.0,1.66,2271.0,1274.0,566.0,1631.0,11474.0,,,,,,,,,,
1988,2022,4383.0,19909.0,1651.0,12766.0,2.25,2583.0,2179.0,719.0,2594.0,15349.0,39.7640306122449,14.683179723502304,176.08695652173913,38.715636205585135,35.54216867469881,13.738441215323647,71.03610675039246,27.03180212014134,59.04353157572042,33.77200627505665
2002,2019,43758.606,52115.324,75.665,534.878,6.88,2295.798,181.275,671.135,26929.165,2830.676,,,,,,,,,,
2002,2022,61227.227,67637.917,103.789,381.582,14.63,2714.491,94.507,1102.641,31357.467,3096.073,39.92042388187594,29.785083941913133,37.169100640983274,-28.659993493843462,112.64534883720931,18.237362346338845,-47.865397876155015,64.29496301042266,16.44426034004396,9.375746288165793
2005,2019,15784.482,18095.496,53.9,105.682,5.56,665.053,41.799,225.913,10880.865,770.735,,,,,,,,,,
2005,2022,20615.696,23606.877,28.761,49.008,5.48,705.899,2.075,225.804,13501.981,754.907,30.607364878999515,30.45719774688686,-46.640074211502785,-53.626918491323025,-1.4388489208632946,6.141766144953861,-95.03576640589488,-0.048248662095589395,24.08922452396937,-2.0536241379981415
2019,2019,259466.0,381508.0,1210.0,4335.0,4.51,15672.0,3.0,4441.0,54831.0,20007.0,,,,,,,,,,
2019,2022,278970.0,405783.0,1346.0,3653.0,2.9,16338.0,2.0,2573.0,65887.0,19991.0,7.51697717620035,6.36290719984902,11.239669421487603,-15.732410611303344,-35.69844789356985,4.249617151607963,-33.33333333333333,-42.06259851384823,20.163775966150535,-0.0799720097965712
2049,2019,118.509,2738.335,53.286,843.04,3.07,648.078,232.706,158.35,371.418,1491.118,,,,,,,,,,
2049,2022,145.06,2413.73,35.082,744.848,0.26,517.02,283.402,13.479,334.306,1261.868,22.40420558776127,-11.854101123492926,-34.1628195023083,-11.647371417726324,-91.53094462540716,-20.22256580226454,21.785428824353474,-91.48784338490684,-9.991976694721318,-15.37437010350623
2052,2019,1.223,18.302,2.003,15.288,-1.5,-3.275,0.729,-12.414,2.614,12.013,,,,,,,,,,
2052,2022,1.462,37.215,10.22,13.263,0.57,15.264,0.351,5.513,4.941,28.527,19.5421095666394,103.33843295814667,410.23464802795803,-13.245682888540033,-138.0,-566.0763358778626,-51.85185185185185,-144.40953761881747,89.02065799540934,137.4677432781154
2055,2019,715.0,44392.0,1701.0,3401.0,2.26,6316.0,2289.0,3969.0,665.0,9717.0,,,,,,,,,,
2055,2022,741.0,45965.0,3049.0,5983.0,0.24,5030.0,1781.0,432.0,906.0,11013.0,3.6363636363636362,3.5434312488736706,79.24750146972369,75.91884739782418,-89.38053097345133,-20.360987967067764,-22.19309742245522,-89.1156462585034,36.2406015037594,13.337449830194503
2080,2019,23.677,275.766,17.375,177.842,-0.19,274.245,66.302,-1.928,21.819,452.087,,,,,,,,,,
2080,2022,20.359,406.273,21.296,235.18,2.7,250.421,85.477,65.345,20.191,485.601,-14.013599695907411,47.32526852476375,22.56690647482014,32.24097794671674,-1521.0526315789475,-8.687122828128139,28.920696208259173,-3489.2634854771786,-7.461386864659243,7.4131748977519845
2086,2019,892.0,18193.0,696.0,5657.0,1.93,5705.0,1653.0,1001.0,1896.0,11362.0,,,,,,,,,,
2086,2022,1139.0,28287.0,679.0,7966.0,-4.83,7147.0,2718.0,-2433.0,2752.0,15113.0,27.690582959641258,55.48287803001154,-2.442528735632184,40.81668729008308,-350.25906735751295,25.2760736196319,64.42831215970962,-343.05694305694306,45.14767932489451,33.013553951769055
2101,2019,237.289,2331.697,18.97,2464.416,3.68,1008.323,447.555,143.993,549.822,3472.739,,,,,,,,,,
2101,2022,259.463,2452.588,18.124,2703.76,6.58,1106.916,449.821,257.414,674.479,3810.676,9.344723101365862,5.18467879831728,-4.459673168160254,9.71199667588589,78.80434782608695,9.777918385279316,0.506306487470818,78.7684123533783,22.672246654371786,9.731137295374053
2111,2019,1092.0,51765.0,957.0,6872.0,3.94,10418.0,2579.0,1233.0,2346.0,17290.0,,,,,,,,,,
2111,2022,1699.0,52934.0,973.0,8162.0,5.38,10708.0,3224.0,1779.0,2191.0,18870.0,55.58608058608059,2.258282623394185,1.671891327063741,18.771827706635623,36.54822335025381,2.7836436936072184,25.009693679720822,44.28223844282238,-6.606990622335891,9.13823019086177
2124,2019,44.169,468.917,9.891,365.244,-0.71,127.168,107.276,-8.743,92.41,492.412,,,,,,,,,,
2124,2022,64.589,560.466,8.832,455.917,4.2,198.316,172.465,52.689,125.518,654.233,46.231519844234654,19.523497761864046,-10.706703063390954,24.82532225033127,-691.5492957746479,55.94803724207347,60.7675528543197,-702.6421136909528,35.82729141867764,32.86292779217403
2136,2019,7725.0,291727.0,17939.0,54726.0,4.65,77142.0,1422.0,19265.0,26277.0,131868.0,,,,,,,,,,
2136,2022,8750.0,379680.0,23087.0,59133.0,5.06,77702.0,2388.0,21256.0,25162.0,136835.0,13.268608414239482,30.149077733634527,28.697251797759073,8.052845082776011,8.817204301075252,0.7259339918591688,67.9324894514768,10.334804048793147,-4.243254557217338,3.7666454333121
2137,2019,2604.0,60146.0,3988.0,11903.0,3.37,12061.0,427.0,3191.0,4149.0,23964.0,,,,,,,,,,
2137,2022,3602.0,69329.0,5133.0,12058.0,2.98,12116.0,656.0,2868.0,4574.0,24174.0,38.325652841781874,15.267848235959166,28.711133400200602,1.3021927245232294,-11.572700296735908,0.4560152557831026,53.62997658079626,-10.122218740206831,10.24343215232586,0.8763144717075613
2176,2019,36437.0,817729.0,15979.0,211678.0,33.22,115545.0,19852.0,81417.0,53362.0,327223.0,,,,,,,,,,
2176,2022,44725.0,948452.0,15464.0,251378.0,-10.36,-17188.0,25366.0,-22819.0,71509.0,234190.0,22.74610972363257,15.986102975435626,-3.2229801614619182,18.754901312370677,-131.18603251053582,-114.87558959712668,27.77553898851501,-128.0273161624722,34.00734605149732,-28.43106994312747
2184,2019,5288.0,15591.0,743.0,32850.0,5.75,10788.0,5174.0,1541.0,1149.0,43638.0,,,,,,,,,,
2184,2022,5687.0,15803.0,930.0,35554.0,6.29,10744.0,5140.0,1419.0,1141.0,46298.0,7.545385779122542,1.3597588352254506,25.168236877523555,8.231354642313546,9.391304347826088,-0.4078605858361142,-0.6571318129107073,-7.91693705386113,-0.6962576153176675,6.095604748155278
2220,2019,107.014,8008.859,98.532,929.143,58.27,1382.516,554.007,1758.675,394.672,2311.659,,,,,,,,,,
