ctype,GICS Sector,srcdate,salecs
COMPANY,Information Technology,2020-03-31,0.6068373520033464
COMPANY,Information Technology,2020-04-30,0.7457706583335781
COMPANY,Information Technology,2020-06-30,2.2560766662014538
COMPANY,Information Technology,2020-08-31,0.7063270617435599
COMPANY,Information Technology,2020-09-30,0.8064206925798884
COMPANY,Information Technology,2020-10-31,5.758028474178703
COMPANY,Information Technology,2020-12-31,13.302238965868044
COMPANY,Information Technology,2021-01-31,0.533669734958293
COMPANY,Information Technology,2021-03-31,0.6002008103548672
COMPANY,Information Technology,2021-04-30,0.7571061614471672
COMPANY,Information Technology,2021-06-30,1.9769968191961163
COMPANY,Information Technology,2021-08-31,1.0789248094360084
COMPANY,Information Technology,2021-09-30,1.2137675688577818
COMPANY,Information Technology,2021-10-31,7.795447059825872
COMPANY,Information Technology,2021-12-31,14.260498483003232
COMPANY,Information Technology,2022-01-31,0.5913034589284212
COMPANY,Information Technology,2022-03-31,0.8575388987719891
COMPANY,Information Technology,2022-04-30,0.8516905101016244
COMPANY,Information Technology,2022-06-30,2.533368115913236
COMPANY,Information Technology,2022-08-31,2.119217840818939
COMPANY,Information Technology,2022-09-30,1.3837273215009278
COMPANY,Information Technology,2022-10-31,9.9238255688587
COMPANY,Materials,2019-06-30,1.6424889259581148
COMPANY,Materials,2019-12-31,30.524528539688326
COMPANY,Materials,2020-12-31,28.848803720617745
COMPANY,Materials,2021-12-31,38.984178813735824
COMPANY,Real Estate,2019-12-31,32.27208663372657
COMPANY,Real Estate,2020-12-31,32.61623611150682
COMPANY,Real Estate,2021-12-31,35.111677254766605
COMPANY,Utilities,2019-12-31,30.540652912550136
COMPANY,Utilities,2020-12-31,32.122038831461154
COMPANY,Utilities,2021-12-31,37.33730825598872
GEOREG,Communication Services,2019-03-31,0.17073826344361578
GEOREG,Communication Services,2019-06-30,1.4860008665585918
GEOREG,Communication Services,2019-09-30,5.302894705859726
GEOREG,Communication Services,2019-12-31,18.974915134334864
GEOREG,Communication Services,2020-03-31,0.19171912690629198
GEOREG,Communication Services,2020-06-30,1.3367324763847184
GEOREG,Communication Services,2020-09-30,5.30067058605803
GEOREG,Communication Services,2020-12-31,21.273778631950496
GEOREG,Communication Services,2021-03-31,0.20246903928116142
GEOREG,Communication Services,2021-06-30,1.3930847032510116
GEOREG,Communication Services,2021-09-30,4.99819029302722
GEOREG,Communication Services,2021-12-31,29.04085617924729
GEOREG,Communication Services,2022-03-31,0.2537720693736417
GEOREG,Communication Services,2022-06-30,1.5324567982299067
GEOREG,Communication Services,2022-09-30,6.2086304264375185
GEOREG,Communication Services,2022-12-31,2.3330906996559264
GEOREG,Consumer Discretionary,2019-01-31,2.392576699407396
GEOREG,Consumer Discretionary,2019-03-31,1.6261789232560486
GEOREG,Consumer Discretionary,2019-06-30,0.4868526850448613
GEOREG,Consumer Discretionary,2019-09-30,0.5287112241154245
GEOREG,Consumer Discretionary,2019-12-31,21.62137734460712
GEOREG,Consumer Discretionary,2020-01-31,2.5610355153617625
GEOREG,Consumer Discretionary,2020-03-31,2.1894168567377377
GEOREG,Consumer Discretionary,2020-06-30,0.40076834822411683
GEOREG,Consumer Discretionary,2020-09-30,0.255515630330694
GEOREG,Consumer Discretionary,2020-12-31,27.826996535275477
GEOREG,Consumer Discretionary,2021-01-31,2.050789490543702
GEOREG,Consumer Discretionary,2021-03-31,1.1010140636329213
GEOREG,Consumer Discretionary,2021-06-30,0.46417042758097365
GEOREG,Consumer Discretionary,2021-09-30,0.3195807295211106
GEOREG,Consumer Discretionary,2021-12-31,30.727412823845285
GEOREG,Consumer Discretionary,2022-01-31,3.0981706778741915
GEOREG,Consumer Discretionary,2022-03-31,1.4582134948678842
GEOREG,Consumer Discretionary,2022-06-30,0.5399556624549743
GEOREG,Consumer Discretionary,2022-09-30,0.35126286731831907
GEOREG,Consumer Staples,2019-01-31,9.248034127603406
GEOREG,Consumer Staples,2019-04-30,0.11703481181280798
GEOREG,Consumer Staples,2019-05-31,0.12722706024384542
GEOREG,Consumer Staples,2019-06-30,0.5316946059342271
GEOREG,Consumer Staples,2019-08-31,5.652585311576346
GEOREG,Consumer Staples,2019-09-30,0.3145850184106634
GEOREG,Consumer Staples,2019-10-31,0.051091209396370074
GEOREG,Consumer Staples,2019-11-30,0.3338198639402497
GEOREG,Consumer Staples,2019-12-31,10.344160464848827
GEOREG,Consumer Staples,2020-01-31,9.19491441889854
GEOREG,Consumer Staples,2020-04-30,0.1490857438345309
GEOREG,Consumer Staples,2020-05-31,0.1300973615067164
GEOREG,Consumer Staples,2020-06-30,0.5368596173800547
GEOREG,Consumer Staples,2020-08-31,6.15749656236647
GEOREG,Consumer Staples,2020-09-30,0.3044050165983475
GEOREG,Consumer Staples,2020-10-31,0.05412071670262167
GEOREG,Consumer Staples,2020-11-30,0.3486153101832622
GEOREG,Consumer Staples,2020-12-31,9.115596819965829
GEOREG,Consumer Staples,2021-01-31,9.289060300320708
GEOREG,Consumer Staples,2021-04-30,0.15248532865027534
GEOREG,Consumer Staples,2021-05-31,0.12711224819333058
GEOREG,Consumer Staples,2021-06-30,0.7152989754628798
GEOREG,Consumer Staples,2021-08-31,8.798855707787864
GEOREG,Consumer Staples,2021-09-30,0.3676281857485198
GEOREG,Consumer Staples,2021-10-31,0.06604930604427857
GEOREG,Consumer Staples,2021-11-30,0.39239697211292146
GEOREG,Consumer Staples,2021-12-31,9.281837856929654
GEOREG,Consumer Staples,2022-01-31,7.7275398719518655
GEOREG,Consumer Staples,2022-04-30,0.17812056328922893
GEOREG,Consumer Staples,2022-05-31,0.12879615826754826
GEOREG,Consumer Staples,2022-06-30,0.9287981067045868
GEOREG,Consumer Staples,2022-08-31,8.232781781447473
GEOREG,Consumer Staples,2022-09-30,0.4400363189398793
GEOREG,Consumer Staples,2022-10-31,0.06115310787938968
GEOREG,Consumer Staples,2022-11-30,0.40062516906648493
GEOREG,Energy,2019-12-31,39.2791281370343
GEOREG,Energy,2020-12-31,28.494578022671195
GEOREG,Energy,2021-12-31,32.22629384029451
GEOREG,Financials,2019-08-31,0.038541865690766876
GEOREG,Financials,2019-12-31,31.892385271211733
GEOREG,Financials,2020-08-31,0.14111267653007076
GEOREG,Financials,2020-12-31,33.73527577483419
GEOREG,Financials,2021-08-31,0.15030547496163169
GEOREG,Financials,2021-12-31,33.86823087457785
GEOREG,Financials,2022-08-31,0.1741480621937629
GEOREG,Health Care,2019-04-30,1.162838761698989
GEOREG,Health Care,2019-06-30,0.1574150780454436
GEOREG,Health Care,2019-09-30,0.7860701742082935
GEOREG,Health Care,2019-10-31,0.2715548358676511
GEOREG,Health Care,2019-12-31,27.638157494711404
GEOREG,Health Care,2020-04-30,1.1003148200335298
GEOREG,Health Care,2020-06-30,0.17345682635063195
GEOREG,Health Care,2020-09-30,0.7950929536172288
GEOREG,Health Care,2020-10-31,0.27330915948954865
GEOREG,Health Care,2020-12-31,28.029860741943118
GEOREG,Health Care,2021-04-30,1.1460566203268236
GEOREG,Health Care,2021-06-30,0.20998340440297483
GEOREG,Health Care,2021-09-30,0.9848300934527815
GEOREG,Health Care,2021-10-31,0.32232366762412656
GEOREG,Health Care,2021-12-31,34.273918560522446
GEOREG,Health Care,2022-04-30,1.2057264563167447
GEOREG,Health Care,2022-06-30,0.21997768332912082
GEOREG,Health Care,2022-09-30,0.903145589018875
GEOREG,Health Care,2022-10-31,0.3459670790402859
GEOREG,Industrials,2019-05-31,0.9172330380848456
GEOREG,Industrials,2019-06-30,0.9983770260652155
GEOREG,Industrials,2019-09-30,1.8474258251815425
GEOREG,Industrials,2019-10-31,1.6882258823275378
GEOREG,Industrials,2019-12-31,27.824188828675034
GEOREG,Industrials,2020-05-31,0.8634660645736981
GEOREG,Industrials,2020-06-30,0.6651635094176397
GEOREG,Industrials,2020-09-30,1.697046818984899
GEOREG,Industrials,2020-10-31,1.5311136413570425
GEOREG,Industrials,2020-12-31,22.771473835456305
GEOREG,Industrials,2021-05-31,1.0440998629282785
GEOREG,Industrials,2021-06-30,0.7409919101950289
GEOREG,Industrials,2021-09-30,1.8077201598494281
GEOREG,Industrials,2021-10-31,1.8916860427150255
GEOREG,Industrials,2021-12-31,22.770002089017023
GEOREG,Industrials,2022-05-31,1.1853211421195948
GEOREG,Industrials,2022-06-30,0.8232539691137671
GEOREG,Industrials,2022-09-30,2.0001505400581965
GEOREG,Industrials,2022-10-31,2.2530397246634113
GEOREG,Industrials,2022-12-31,4.680020089216511
GEOREG,Information Technology,2019-01-31,0.7466042673817613
GEOREG,Information Technology,2019-03-31,0.6865229847436827
GEOREG,Information Technology,2019-04-30,0.093973227912212
GEOREG,Information Technology,2019-05-31,1.1920365232535597
GEOREG,Information Technology,2019-06-30,1.1069967836507686
GEOREG,Information Technology,2019-07-31,0.8263371132203495
GEOREG,Information Technology,2019-08-31,1.2923657914808766
GEOREG,Information Technology,2019-09-30,7.062018984963083
GEOREG,Information Technology,2019-10-31,3.739825438920667
GEOREG,Information Technology,2019-11-30,0.24718035086369733
GEOREG,Information Technology,2019-12-31,7.510653659048076
GEOREG,Information Technology,2020-01-31,0.7169999863434222
GEOREG,Information Technology,2020-03-31,0.6021158454068372
GEOREG,Information Technology,2020-04-30,0.07792901826866362
GEOREG,Information Technology,2020-05-31,1.178344660136697
GEOREG,Information Technology,2020-06-30,1.1900724345369322
GEOREG,Information Technology,2020-07-31,0.7871313377755884
GEOREG,Information Technology,2020-08-31,1.183810488082895
GEOREG,Information Technology,2020-09-30,7.56790310852578
GEOREG,Information Technology,2020-10-31,3.5811797812743507
GEOREG,Information Technology,2020-11-30,0.38807686032552763
GEOREG,Information Technology,2020-12-31,7.745268408090284
GEOREG,Information Technology,2021-01-31,0.9436351839093572
GEOREG,Information Technology,2021-03-31,0.6036153758427328
GEOREG,Information Technology,2021-04-30,0.0839606760293961
GEOREG,Information Technology,2021-05-31,1.2208376890610573
GEOREG,Information Technology,2021-06-30,1.3404832809505423
GEOREG,Information Technology,2021-07-31,0.7871313377755884
GEOREG,Information Technology,2021-08-31,1.4599067570429882
GEOREG,Information Technology,2021-09-30,9.578527633008164
GEOREG,Information Technology,2021-10-31,4.103340393620961
GEOREG,Information Technology,2021-12-31,8.106086880030354
GEOREG,Information Technology,2022-01-31,1.3427706665231447
GEOREG,Information Technology,2022-03-31,0.6467671824277204
GEOREG,Information Technology,2022-04-30,0.09171135625193733
GEOREG,Information Technology,2022-05-31,1.279917776827432
GEOREG,Information Technology,2022-06-30,1.5598340755971294
GEOREG,Information Technology,2022-07-31,0.8052263110577859
GEOREG,Information Technology,2022-08-31,1.5965731744423501
GEOREG,Information Technology,2022-09-30,10.312551732114944
GEOREG,Information Technology,2022-10-31,4.304622844754364
GEOREG,Information Technology,2022-11-30,0.3091526185263432
GEOREG,Materials,2019-06-30,1.1884596489362929
GEOREG,Materials,2019-09-30,2.317824272085994
GEOREG,Materials,2019-12-31,27.11103076019359
GEOREG,Materials,2020-06-30,1.5665899085569377
GEOREG,Materials,2020-09-30,2.2330078944420446
GEOREG,Materials,2020-12-31,25.257916552103822
GEOREG,Materials,2021-06-30,1.6160347153760397
GEOREG,Materials,2021-09-30,2.393254303937346
GEOREG,Materials,2021-12-31,31.28270971875965
GEOREG,Materials,2022-06-30,1.8275102169682858
GEOREG,Materials,2022-09-30,3.2056620086400023
GEOREG,Real Estate,2019-12-31,34.80039142671901
GEOREG,Real Estate,2020-12-31,30.53827415253351
GEOREG,Real Estate,2021-12-31,34.66133442074748
GEOREG,Utilities,2019-12-31,36.80481668314787
GEOREG,Utilities,2020-12-31,30.13180788343827
GEOREG,Utilities,2021-12-31,33.06337543341386
GOVDOM,Consumer Staples,2019-08-31,22.361950541736928
GOVDOM,Consumer Staples,2020-08-31,23.03987712179628
GOVDOM,Consumer Staples,2021-08-31,28.346914861812827
GOVDOM,Consumer Staples,2022-08-31,26.251257474653965
GOVDOM,Health Care,2019-12-31,25.821893959645863
GOVDOM,Health Care,2020-12-31,33.77376649224605
GOVDOM,Health Care,2021-12-31,40.40433954810809
GOVDOM,Industrials,2019-06-30,0.6044007852704432
GOVDOM,Industrials,2019-09-30,0.7683029419201775
GOVDOM,Industrials,2019-12-31,23.60153116002029
GOVDOM,Industrials,2020-09-30,0.9732415382939841
GOVDOM,Industrials,2020-12-31,28.093306419097495
GOVDOM,Industrials,2021-09-30,1.021957150113742
GOVDOM,Industrials,2021-12-31,28.604134340850113
GOVDOM,Industrials,2022-09-30,1.0391765463617797
GOVDOM,Industrials,2022-12-31,15.293949118071987
GOVDOM,Information Technology,2019-08-31,14.317044704849604
GOVDOM,Information Technology,2019-12-31,8.5962790248569
GOVDOM,Information Technology,2020-08-31,16.512102845564
GOVDOM,Information Technology,2020-12-31,8.735235041190787
GOVDOM,Information Technology,2021-08-31,17.87337196385074
GOVDOM,Information Technology,2021-12-31,10.859974263440495
GOVDOM,Information Technology,2022-08-31,23.10599215624749
GOVDOM,Materials,2019-12-31,30.21681836321684
GOVDOM,Materials,2020-12-31,33.41186575614974
GOVDOM,Materials,2021-12-31,36.37131588063342
GOVDOM,Real Estate,2019-12-31,30.520472411609106
GOVDOM,Real Estate,2020-12-31,30.924704742744307
GOVDOM,Real Estate,2021-12-31,38.554822845646584
GOVDOM,Utilities,2019-12-31,32.518880497556644
GOVDOM,Utilities,2020-12-31,32.69657929808974
GOVDOM,Utilities,2021-12-31,34.78454020435362
GOVFRN,Health Care,2021-12-31,100.0
GOVFRN,Industrials,2019-12-31,20.83188287598341
GOVFRN,Industrials,2020-12-31,29.010473130899218
GOVFRN,Industrials,2021-12-31,33.31808281033985
GOVFRN,Industrials,2022-12-31,16.83956118277752
GOVFRN,Information Technology,2019-12-31,33.601738241308794
GOVFRN,Information Technology,2020-12-31,31.586571233810503
GOVFRN,Information Technology,2021-12-31,34.81169052488071
