gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
1161,2018,-8,1061,4556,163,163,3889,0.32,2586,337,845,337,590,1269,6475
1161,2019,0,1201,6028,217,217,3721,0.3,3010,341,982,341,725,1879,6731
1161,2020,17,546,8962,294,294,5199,2.06,4564,2490,1399,2490,1600,2076,9763
1161,2021,-3,1406,12419,301,301,8209,2.57,8225,3162,1955,3162,3974,2708,16434
1161,2022,-41,2956,67580,450,450,10918,0.84,12683,1320,3771,1320,5670,4128,23601
1186,2018,-58.095,163.032,7852.843,1089.1,1089.1,1261.048,-1.4,930.173,-326.701,494.15,-326.701,667.63,121.154,2191.221
1186,2019,-47.922,158.317,8789.885,882.664,882.664,901.884,1.99,1593.008,473.166,580.068,473.166,1367.242,89.442,2494.892
1186,2020,85.252,167.127,9614.755,759.342,759.342,1424.152,2.1,1713.961,511.607,630.474,511.607,1484.181,83.189,3138.113
1186,2021,54.276,189.069,10186.776,867.684,867.684,1756.688,2.22,2067.19,543.009,878.944,543.009,1772.673,127.263,3823.878
1186,2022,-29.006,259.002,23494.808,1538.237,1538.237,2539.821,1.53,3201.341,670.249,1209.075,670.249,2667.468,143.9,5741.162
1209,2018,-1741.9,924.6,19178.3,1568.4,1568.4,5242.9,6.59,3687.3,1455.6,473.6,1497.8,2862,1438.3,8930.2
1209,2019,-2375.6,528.2,18942.8,1989.7,1989.7,4892.7,7.94,4026.2,1760,388.3,1760,3203.3,1415.4,8918.9
1209,2020,-2140.1,546.2,25168.5,2509,2509,4673.1,8.55,4183.2,1901,404.8,1886.7,3323.4,1417.4,8856.3
1209,2021,-1515.9,736.8,26859.2,2464.2,2464.2,5864.8,9.12,4458.2,2028.8,453.9,2099.1,3536.3,1655.1,10323
1209,2022,-2786.1,1120.7,27192.6,2926.5,2926.5,8000.3,10.08,4698.3,2243.5,514.2,2256.1,3694.8,1941.2,12698.6
1210,2018,-0.205,12.553,115.142,20.47,20.47,195.685,0.66,54.149,1.34,29.968,1.34,15.773,24.262,249.834
1210,2019,-0.537,10.864,151.427,38.692,38.692,184.215,-0.15,52.57,-0.409,60.623,7.656,12.953,14.251,236.785
1210,2020,-0.684,8.344,140.75,6.005,6.005,140.343,-2.53,34.778,-7.281,71.971,-7.277,0.514,10.894,175.121
1210,2021,-0.263,9.397,207.599,1.558,1.558,135.835,3.78,41.242,10.928,75.167,10.928,2.325,32.052,177.077
1230,2018,-448,132,10912,960,960,6193,3.52,2071,437,60,437,1173,366,8264
1230,2019,-465,146,12993,696,696,6379,6.19,2402,769,72,769,1530,323,8781
1230,2020,-494,108,14046,206,206,4342,-10.72,-776,-1324,57,-1324,-1284,480,3566
1230,2021,-262,200,13951,292,292,5342,3.77,834,478,62,478,154,546,6176
1230,2022,-388,221,14186,1671,1671,7553,0.45,2093,58,104,58,1109,296,9646
1234,2018,0,5.082,231.216,17.507,17.507,71.548,18.44,80.9,34.255,33.572,34.255,50.829,17.014,152.448
1234,2019,0,5.707,262.031,20.446,20.446,73.525,19.73,81.541,36.761,42.093,36.761,51.382,18.886,155.066
1234,2020,0,6.635,266.89,21.886,21.886,69.776,17.44,77.815,32.115,50.298,32.115,47.32,16.445,147.591
1234,2021,0,7.146,267.264,15.828,15.828,82.751,18.18,82.258,33.055,50.778,33.055,48.928,21.023,165.009
1234,2022,0,12.074,264.712,33.736,33.736,93.79,19.56,89.716,35.008,65.793,35.008,53.499,23.951,183.506
1254,2018,-34.5,246.8,2430.4,401.2,401.2,1783.3,2.53,439.5,109,0,109,218.7,250.5,2222.8
1254,2019,-36.9,235.7,2845.4,310.3,310.3,1780.6,1.91,422.5,82.7,0,82.7,205.7,218.7,2203.1
1254,2020,-50.8,283.1,2900.6,192.3,192.3,1796.3,4.44,587,193.1,0,193.1,362,253.7,2383.3
1254,2021,-30.9,308.4,3693.1,325.3,325.3,2429.6,21.47,1495.7,927.4,0,927.4,1259.2,366.8,3925.3
1254,2022,-6.9,255.6,4330,209.3,209.3,2676.6,27.07,1666.4,1063.9,0,1063.9,1405.4,439.3,4343
1257,2018,-0.127,30.889,1481.257,0,0,126.864,11.07,105.961,56.641,0,32.844,100.622,172.864,232.825
1257,2019,-0.049,31.756,1265.511,0,0,121.089,11.74,105.261,60.075,0,60.075,99.489,172.468,226.35
1257,2020,-0.707,35.342,1404.138,0,0,120.76,8.19,89.219,41.939,0,41.939,82.912,153.39,209.979
1257,2021,7.494,44.681,1391.965,0,0,124.027,25.48,82.121,130.582,0,132.93,76.197,141.842,206.148
1257,2022,25.586,48.785,1397.776,0,0,120.243,11.24,85.571,57.632,0,57.632,79.465,132.202,205.814
1263,2021,152,54.6,2693.6,167.9,167.9,2204.7,7.75,1601.3,857.7,480,857.7,1487.1,402.3,3806
1266,2018,0,3.764,423.422,16.352,16.352,51.361,1.57,29.92,13.05,41.033,13.05,15.148,2.544,81.281
1266,2019,0,4.163,417.388,20,20,64.05,5.05,58.201,37.833,40.143,37.833,43.752,0.713,122.251
1266,2020,0,3.533,423.937,21.705,21.705,64.697,3.16,27.81,23.662,40.855,23.662,16.916,5.128,92.507
1266,2021,0,7.274,433.217,40.785,40.785,73.848,4.64,34.716,34.859,43.377,34.859,24.605,9.338,108.564
1266,2022,0,3.366,409.255,20.867,20.867,69.63,1.65,22.317,12.459,27.682,12.459,12.238,1.44,91.947
1274,2018,-202.003,168.667,25344.896,23.286,23.286,6629.47,2.62,243.99,39.539,,39.539,243.99,3649.002,6873.46
1274,2019,171.35,188.399,26931.604,47.572,47.572,7697.61,59.39,1328.106,857.801,,857.801,1328.106,3416.775,9025.716
1274,2020,452.402,208.384,28927.01,37.519,37.519,8490.948,7.04,452.571,101.754,,101.754,452.571,3688.625,8943.519
1274,2021,141.822,322.902,32268.675,59.651,59.651,10311.063,74.66,1689.942,1034.892,,1034.892,1689.942,4218.124,12001.005
1300,2018,-3437,5607,57773,828,828,27119,8.98,14683,6765,4326,6765,8871,7859,41802
1300,2019,-3197,5730,58679,839,839,22975,8.41,13734,6143,4421,6143,8485,7790,36709
1300,2020,-3377,5750,64586,906,906,20859,6.72,11778,4779,4489,4779,7273,7013,32637
1300,2021,-2895,6484,64470,895,895,21798,7.91,12594,5542,5138,5542,7908,7011,34392
1300,2022,-3475,6329,62275,766,766,22263,7.27,13203,4966,5538,4966,8298,7933,35466
1327,2018,-8.8,229.9,4828.9,422.3,422.3,1629.1,5.01,2238.9,918.4,490.2,918.4,1620.2,655.8,3868
1327,2019,-7.9,190.5,4839.6,398.4,398.4,1353,4.89,2023.8,853.6,609.7,853.6,1413.7,465.3,3376.8
1327,2020,-7.8,226.9,5106.7,389.4,389.4,1372.2,4.8,1983.5,814.8,806,814.8,1289,393.6,3355.7
1327,2021,-7.9,236,8590.7,637.8,637.8,2196,8.97,2913.1,1498.3,885,1498.3,2111.7,756.2,5109.1
1327,2022,-4.8,274.2,8873.8,489.4,489.4,2290,7.81,3195.5,1275.2,1212.1,1275.2,2264.1,1094,5485.5
1380,2018,-306,495,21433,2097,2097,3057,-1.1,3266,-282,245,-282,2543,1001,6323
1380,2019,-699,411,21782,2829,2829,3106,-1.37,3389,-408,261,-408,2776,1170,6495
1380,2020,-755,200,18821,2197,2197,4363,-10.15,304,-3093,378,-3093,-194,860,4667
1380,2021,-406,220,20515,1747,1747,3435,1.81,4038,559,223,559,3556,1211,7473
1380,2022,-131,285,21695,2725,2725,5089,6.77,6235,2096,217,2096,5516,1162,11324
1393,2018,-66.698,556.873,11891.713,1869.968,1869.968,2593.721,18.93,1174.986,370.857,103.504,370.857,1174.986,493.497,3768.707
1393,2019,34.652,554.353,13438.024,2309.406,2309.406,2802.435,22.55,1176.433,442.048,101.083,442.048,1176.433,495.758,3978.868
1393,2020,106.857,645.575,14651.606,1441.475,1441.475,2967.627,31.15,1574.358,610.856,105.577,610.856,1574.358,663.567,4541.985
1393,2021,46.384,677.785,17299.581,2136.537,2136.537,3616.118,57.29,2123.629,1123.286,158.888,1123.286,2123.629,709.887,5739.747
1410,2018,-9,221.9,3627.5,50.9,50.9,5700.9,1.45,741.3,95.9,0,97.8,303.3,1014.1,6442.2
1410,2019,-23.9,280.7,3692.6,59.6,59.6,5718.7,1.91,779.9,127.5,0,127.4,333.3,1085.8,6498.6
1410,2020,-30.8,273.3,3776.9,38,38,5109,0,878.6,0.2,0,0.3,386.7,906.4,5987.6
1410,2021,-22.5,289.4,4436.2,34.3,34.3,5213.2,1.86,1015.4,126.3,0,126.3,496.3,1189.6,6228.6
1410,2022,-16.2,315.6,4868.9,50.8,50.8,6717.2,3.41,1089.4,230.4,0,230.4,534.1,1354.5,7806.6
1414,2018,-28.434,366.424,12595.048,13.517,13.517,1442.533,7.33,457.31,324.094,13.61,324.094,457.31,4455.385,1899.843
1414,2019,58.798,368.677,13688.531,25.437,25.437,1528.282,8.62,524.222,366.391,43.233,366.391,524.222,4499.932,2052.504
1414,2020,129.706,591.865,14905.285,27.622,27.622,1664.275,9.57,553.266,386.164,16.3,386.164,553.266,4640.049,2217.541
1414,2021,72.388,679.911,16123.223,24.688,24.688,2039.968,9.38,669.764,373.357,24.355,373.357,669.764,4807.159,2709.732
1414,2022,-252.272,639.188,15348.877,25.805,25.805,2106.739,9.74,613.394,373.012,3.698,373.012,613.394,4539.826,2720.133
1417,2018,,,,,,,,,,,,,,
1417,2019,,,,,,,,,,,,,,
1417,2020,,,,,,,,,,,,,,
1417,2021,,,,,,,,,,,,,,
1417,2022,,,,,,,,,,,,,,
1439,2018,-13.791,17.754,947.898,40.757,40.757,353.275,2.25,212.653,49.595,0,49.595,120.313,151.761,565.928
1439,2019,-11.854,46.906,2231.244,58.1,58.1,421.373,1.4,264.136,33.14,0,33.14,135.396,266.554,685.509
1439,2020,-14.658,35.881,1831.283,57.399,57.399,580.9,-12.51,352.954,-389.359,0,-389.359,156.864,260.257,933.854
1439,2021,-4.194,64.793,1805.398,68.666,68.666,644.147,0.17,343.854,5.337,0,5.337,147.678,264.595,988.001
1440,2018,-120.4,1874.3,68802.8,6357,6489.5,11170.4,3.9,5025.3,1923.8,921.1,1923.8,5025.3,1926.5,16195.7
1440,2019,-147.7,2085.8,75892.3,6143.7,6312.1,10454.6,3.88,5106.8,1921.1,1169.2,1921.1,5106.8,1705.1,15561.4
1440,2020,-85.1,1709.7,80757.2,6316,6464.1,9248,4.42,5670.5,2200.1,1310,2200.1,5670.5,1842.7,14918.5
1440,2021,184.8,2054.6,87668.7,5764.1,5903.8,10594,4.96,6198,2488.1,989.2,2488.1,6198,1941.6,16792
1440,2022,83.7,2613,93469.4,6772.4,6906.1,12744,4.49,6895.5,2307.2,1302.1,2307.2,6895.5,2570.3,19639.5
1447,2018,-2597,84750,188602,1311,1311,33021,7.91,10260,6921,0,6921,10260,141623,43281
1447,2019,-2737,85206,198321,1688,1688,36250,7.99,10770,6759,0,6759,10770,146418,47020
