gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
034621,2019,0,3.022,94.518,1.199,1.199,8.949,-2.54,14.703,-45.43,5.204,-50.428,-14.171,1.586,23.652
034621,2020,0,2.85,110.843,1.32,1.32,15.515,.28,26.369,12.651,4.892,12.602,-16.139,.911,41.884
034621,2021,0,2.979,124.883,.342,.342,14.495,-.47,29.986,-23.395,5.574,-23.395,-18.599,1.113,44.481
034621,2022,0,2.037,40.792,.6889999999999999,.6889999999999999,13.067,-1.24,22.336,-70.084,4.768,-70.084,-15.388,1.448,35.403
034624,2021,0,.254,16.983,.269,.269,1.442,-.77,.109,-4.31,.291,-4.31,-2.457,.209,1.551
034624,2022,0,.265,10.357,.096,.096,1.696,-.85,.352,-4.746,.502,-4.746,-3.236,.222,2.048
034636,2019,-308,0,19509,235,235,7272,2.57,4117,1595,0,1595,2698,1967,11389
034636,2020,-417,0,21750,359,359,7807,1.62,4496,999,0,999,2755,1888,12303
034636,2021,-318,0,22926,484,484,8037,3.61,4872,2150,0,2150,3065,2029,12909
034636,2022,-226,0,22185,307,307,9067,2.11,4907,1205,0,1205,2987,2128,13974
034640,2019,0,2.016,82.306,3.586,3.586,0,-2.9,0,-86.331,0,-86.331,-85.342,0,0
034640,2020,0,5.389,59.344,4.024,4.024,78.026,-2.44,-77.051,-81.62,0,-81.62,-77.051,0,.975
034640,2021,0,5.67,50.137,1.129,1.129,86.413,-2.16,-85.309,-90.288,0,-90.288,-85.309,.9340000000000001,1.104
034683,2019,0,.29,284.802,0,0,0,.09,0,3.016,0,3.016,-.619,0,0
034698,2021,.246,1.556,65.447,.134,.134,12.071,-.59,15.086,-22.31,0,-13.747,-15.583,8.566000000000001,27.157
034702,2019,1.64,6.971,156.62,0,0,26.699,-.07,1.266,-.239,0,-.239,1.266,17.247,27.965
034702,2020,3.745,5.239,158.444,0,0,21.001,-.34,-.501,-1.212,0,-1.212,-.501,21.515,20.5
034709,2019,0,.796,11.096,0,0,26.422,-2.52,-26.047,-51.255,0,-51.255,-26.047,0,.375
034709,2020,0,1.887,17.494,0,0,0,-.43,0,-19.101,0,-19.101,-18.759,0,0
034709,2021,0,1.693,83.5,0,0,0,-.73,0,-66.048,0,-66.048,-61.669,0,0
034709,2022,0,3.626,22.746,0,0,0,-.6899999999999999,0,-73.53400000000001,0,-73.53400000000001,-70.916,0,0
034746,2019,-.02,3.311,186.478,6.888,6.888,123.457,-4.49,-118.95,-123.008,0,-123.008,-118.95,1.474,4.507
034746,2020,-.027,1.435,115.378,1.524,1.524,78.893,-2.56,-76.59699999999999,-77.80200000000001,0,-77.80200000000001,-76.59699999999999,.127,2.296
034746,2021,-.023,1.828,59.331,.007,.007,56.906,-1.32,-52.964,-51.647,0,-51.647,-52.964,.1,3.942
034746,2022,-.02,2.97,18.079,0,0,45.932,-1.01,-44.307,-44.078,0,-44.078,-44.307,.096,1.625
034749,2021,-3.395,39.833,21274.425,24.983,24.983,1714.66,14.59,6122.643,3624.12,0,3624.12,3306.661,457.256,7837.303
034749,2022,-38.606,56.043,89724.87300000001,63.971,63.971,488.84,-11.83,2660.6,-2624.949,0,-2624.949,-1722.329,464.817,3149.44
034750,2019,5.629,95.246,3550.856,0,0,579.923,2,107.442,62.541,0,62.541,76.685,1536.878,687.365
034750,2020,15.994,139.582,3532.06,.013,.013,566.023,3.04,110.355,64.914,0,64.914,82.021,1414.608,676.378
034753,2021,0,.202,53.421,0,0,3.126,-.61,.787,-1.242,0,-1.242,,.246,3.913
034753,2022,0,.173,64.20999999999999,0,0,4.805,-1.4,.665,-3.238,0,-3.238,,.385,5.47
034765,2019,-86,520,3361,39,39,3220,-9.130000000000001,756,-1019,636,-1019,141,493,3976
034765,2020,-66,405,3496,58,58,3535,-.22,804,-19,530,-19,139,574,4339
034765,2021,-79,442,3410,60,60,3709,-.39,866,-54,583,-54,171,555,4575
034766,2019,0,1.999,9.993,.112,.112,4.341,-1.7,1.207,-11.313,0,-11.313,-11.739,.799,5.548
034766,2020,0,1.724,10.627,0,0,3.281,-.88,1.932,-7.402,.999,-7.402,-5.811,.722,5.213
034766,2021,0,1.586,9.122999999999999,0,0,2.707,-.36,1.926,-3.814,.157,-3.814,-3.738,.464,4.633
034770,2022,.104,.003,8.140000000000001,0,0,16,-.61,.339,-4.813,.092,-4.813,-5.108,.237,16.339
034805,2019,0,.008,237.149,0,0,0,.08,0,2.324,0,2.324,-.765,0,0
034816,2019,0,.046,308.512,0,0,0,.03,0,1.16,0,1.16,-3.253,0,0
034825,2019,0,.269,280.5,0,0,0,.09,0,3.367,0,3.367,-.779,0,0
034825,2020,0,.321,282.413,0,0,0,-.07,0,-2.424,0,-2.424,-.922,0,0
